Datetime,Open,High,Low,Close,Volume
2018-01-31 19:00:00,10243.64,10340.06,10121.02,10280.55,4457908.65
2018-01-31 20:00:00,10280.55,10407.49,10240.54,10365.84,3306190.43
2018-01-31 21:00:00,10365.84,10370.98,10125.12,10130,3406606.16
2018-01-31 22:00:00,10130,10179.62,9871.01,9967.38,4698981.56
2018-01-31 23:00:00,9967.38,10060.54,9952.42,10031.55,3942931.53
2018-02-01 00:00:00,10031.55,10094.11,9851.02,10074.23,3495028.02
2018-02-01 01:00:00,10074.23,10187.24,10027.69,10032.69,2922688.06
2018-02-01 02:00:00,10032.69,10150,10006.46,10069.33,2175378.14
2018-02-01 03:00:00,10069.33,10142.37,10001,10091.37,1609292.6
2018-02-01 04:00:00,10091.37,10177.84,10046.38,10159.06,1597738.66
2018-02-01 05:00:00,10159.06,10164.04,10058.08,10096.9,1224485.8
2018-02-01 06:00:00,10096.9,10200,10096.9,10160.06,2083022.88
2018-02-01 07:00:00,10160.06,10280,10085.1,10256.13,2590196.65
2018-02-01 08:00:00,10256.13,10299.97,10174.7,10229.7,3506136.53
2018-02-01 09:00:00,10229.7,10288,10169.52,10203.17,5508103.22
2018-02-01 10:00:00,10203.17,10300,10203.17,10215.87,4673670.95
2018-02-01 11:00:00,10215.87,10228.84,9970.26,10080.71,4828018.98
2018-02-01 12:00:00,10080.71,10250,10022.42,10230,3921529.5
2018-02-01 13:00:00,10230,10300.31,10162.31,10234.07,3856901.01
2018-02-01 14:00:00,10234.07,10234.07,10044.81,10090.01,5089797.95
2018-02-01 15:00:00,10090.01,10140.01,10019.71,10028.26,4472772.92
2018-02-01 16:00:00,10028.26,10028.26,9725,9906.35,5515299.81
2018-02-01 17:00:00,9906.35,9945.2,9600.03,9601.57,4360747.29
2018-02-01 18:00:00,9601.57,9667.53,9512.06,9530.32,4532680.81
2018-02-01 19:00:00,9530.32,9735.74,9520.49,9641.57,4014800.43
2018-02-01 20:00:00,9641.57,9701.99,9388.1,9499.74,4771888.04
2018-02-01 21:00:00,9499.74,9500,9266.04,9320.17,4348315.69
2018-02-01 22:00:00,9320.17,9586.86,9320.17,9429.55,5662242.84
2018-02-01 23:00:00,9429.55,9470,9284.22,9369.71,4730067.17
2018-02-02 00:00:00,9369.71,9372.93,9062.91,9112.23,4556615.65
2018-02-02 01:00:00,9112.23,9215.33,9100,9181.5,4450722.36
2018-02-02 02:00:00,9181.5,9240,9136.14,9180.39,4089094.38
2018-02-02 03:00:00,9180.39,9200.94,8961.12,9025.04,4833827.4
2018-02-02 04:00:00,9025.04,9449.7,8866.27,9415,5043875.6
2018-02-02 05:00:00,9415,9545,9230.21,9392.03,4164835.67
2018-02-02 06:00:00,9392.03,9438.26,9198,9200,3636844.84
2018-02-02 07:00:00,9200,9409.35,9169.94,9268.59,3997334.04
2018-02-02 08:00:00,9268.59,9313.61,8890,8900,4216020.16
2018-02-02 09:00:00,8900,9003.18,8736,8740.26,5477603.79
2018-02-02 10:00:00,8740.26,9049.56,8740.26,9035.58,4501212.31
2018-02-02 11:00:00,9035.58,9100,8849.22,8894.95,4936557.21
2018-02-02 12:00:00,8894.95,8923.7,8752.06,8848.07,4150173.05
2018-02-02 13:00:00,8848.07,8889.47,8752,8791.19,3459145.47
2018-02-02 14:00:00,8791.19,8826,8500.02,8744.47,3849454.37
2018-02-02 15:00:00,8744.47,8889.2,8660.26,8684.41,3979293.31
2018-02-02 16:00:00,8684.41,8685.24,8463.76,8524.83,4540364.61
2018-02-02 17:00:00,8524.83,8685.67,8339.33,8572.16,5807147.8
2018-02-02 18:00:00,8572.16,8572.16,8344,8352.84,5440650.15
2018-02-02 19:00:00,8352.84,8432.71,8230,8294.05,5299154.9
2018-02-02 20:00:00,8294.05,8488,8030.43,8422.42,5520416.72
2018-02-02 21:00:00,8422.42,8863.2,8410.26,8863.2,7175506.6
2018-02-02 22:00:00,8863.2,9046.94,8583,8738.17,6789986.75
2018-02-02 23:00:00,8738.17,9055,8669.9,9055,4852109.24
2018-02-03 00:00:00,9055,9179.93,8882.47,9159.98,5294524.54
2018-02-03 01:00:00,9159.98,9166.99,8687.1,8750.97,4989007.61
2018-02-03 02:00:00,8750.97,8888.82,8626.47,8680.26,3934132.43
2018-02-03 03:00:00,8680.26,8816.1,8566,8717.54,3177023.62
2018-02-03 04:00:00,8717.54,8879,8660.4,8666.68,2506695.43
2018-02-03 05:00:00,8666.68,8723.07,8602,8640.34,2921402.93
2018-02-03 06:00:00,8640.34,8877,8604.73,8854.12,3356199.21
2018-02-03 07:00:00,8854.12,8982.82,8812.9,8896.81,3623115.47
2018-02-03 08:00:00,8896.81,8933,8752.3,8826.32,3617408.54
